year,Company_Symbol,Total-Score,E-Score,S-Score,G-Score
2014,A,72.5,83.0,73.0,63.0
2014,AAPL,60.75,74.0,45.0,62.0
2014,ABBV,64.5,70.25,60.25,67.5
2014,ABT,64.0,71.0,57.0,69.0
2014,ACGL,46.0,34.0,54.0,47.5
2014,ACN,72.0,77.0,66.0,78.0
2014,ADBE,70.0,75.0,71.0,63.0
2014,ADI,65.5,64.75,66.0,66.0
2014,ADM,52.25,56.5,41.75,62.5
2014,ADP,56.0,52.0,54.0,64.0
2014,ADSK,69.0,78.0,59.0,76.0
2014,AEE,60.75,47.0,67.0,78.0
2014,AEP,62.0,46.0,68.75,81.0
2014,AES,53.75,47.0,57.0,65.0
2014,AFL,56.75,51.0,64.5,53.75
2014,AIG,50.75,42.25,59.75,49.75
2014,AIZ,50.25,40.0,61.25,49.0
2014,AJG,52.0,41.0,61.0,52.0
2014,AKAM,56.0,60.0,49.0,65.0
2014,ALB,67.25,57.0,71.0,80.0
2014,ALL,59.75,59.5,65.75,53.0
2014,ALLE,50.0,41.0,50.0,62.0
2014,AMAT,74.75,79.0,77.0,67.0
2014,AME,50.5,47.25,47.75,61.0
2014,AMGN,61.75,71.0,52.0,70.0
2014,AMP,54.0,50.0,55.0,56.25
2014,AMT,61.0,74.0,50.0,54.0
2014,AMZN,50.75,44.5,55.75,50.0
2014,ANSS,47.0,42.5,44.5,59.5
2014,AON,55.25,49.0,63.0,53.25
2014,APA,54.25,46.5,60.5,55.25
2014,APD,73.75,69.0,77.0,77.75
2014,APH,51.0,46.75,53.25,58.0
2014,APTV,67.0,73.0,64.0,63.0
2014,ARE,61.0,65.0,55.0,60.0
2014,ATO,54.0,41.0,62.0,70.0
2014,AVB,57.0,65.0,48.0,57.0
2014,AVGO,51.75,50.0,47.0,63.0
2014,AVY,68.75,65.75,75.0,65.0
2014,AWK,69.75,64.0,75.0,77.0
2014,AXP,58.0,56.0,63.0,54.0
2014,AZO,55.0,43.0,58.0,65.0
2014,BA,60.0,64.0,51.0,64.0
2014,BAC,62.25,76.0,56.25,56.5
2014,BAX,73.0,87.0,62.0,77.0
2014,BBY,75.0,80.0,74.0,71.0
2014,BDX,69.0,85.0,64.0,63.0
2014,BEN,57.0,59.0,53.0,60.0
2014,BG,57.0,62.25,48.75,63.5
2014,BIIB,70.75,78.0,63.0,78.0
2014,BK,63.0,65.0,61.0,64.0
2014,BLK,61.0,62.0,54.0,66.0
2014,BMY,69.75,79.0,65.0,71.0
2014,BR,57.75,49.0,55.25,75.0
2014,BRO,49.0,38.0,58.0,50.0
2014,BSX,62.0,79.0,57.0,55.0
