Ticker,Timestamp,ESG Score,Governance Score,Environment Score,Social Score
MMM,1409529600,73.0,73.0,73.0,74.0
MMM,1412121600,72.0,73.0,72.0,74.0
MMM,1414800000,73.0,73.0,73.0,74.0
MMM,1417392000,73.0,73.0,73.0,74.0
MMM,1420070400,74.0,78.0,70.0,76.0
MMM,1422748800,74.0,78.0,70.0,76.0
MMM,1425168000,74.0,78.0,71.0,75.0
MMM,1427846400,74.0,78.0,71.0,75.0
MMM,1430438400,74.0,78.0,71.0,75.0
MMM,1433116800,74.0,78.0,71.0,75.0
MMM,1435708800,74.0,78.0,71.0,75.0
MMM,1438387200,74.0,78.0,71.0,75.0
MMM,1441065600,74.0,78.0,71.0,75.0
MMM,1443657600,74.0,78.0,71.0,75.0
MMM,1446336000,74.0,78.0,71.0,75.0
MMM,1448928000,75.0,79.0,75.0,71.0
MMM,1451606400,74.69,78.65,75.37,71.09
MMM,1454284800,74.12,78.65,75.37,69.46
MMM,1456790400,74.12,78.65,75.37,69.46
MMM,1459468800,72.02,78.49,71.37,68.14
MMM,1462060800,72.02,78.49,71.37,68.14
MMM,1464739200,72.02,78.49,71.37,68.14
MMM,1467331200,68.94,78.49,63.66,68.14
MMM,1470009600,68.54,78.49,62.66,68.14
MMM,1472688000,68.54,78.49,62.66,68.14
MMM,1475280000,68.54,78.49,62.66,68.14
MMM,1477958400,67.78,75.45,62.66,68.14
MMM,1480550400,67.78,75.45,62.66,68.14
MMM,1483228800,67.71,75.45,62.49,68.15
MMM,1485907200,67.71,75.45,62.49,68.15
MMM,1488326400,67.71,75.45,62.49,68.15
MMM,1491004800,66.42,76.25,54.44,73.07
MMM,1493596800,65.66,76.25,54.78,70.51
MMM,1496275200,65.66,76.25,54.78,70.51
MMM,1498867200,65.66,76.25,54.78,70.51
MMM,1501545600,65.66,76.25,54.78,70.51
MMM,1504224000,65.66,76.25,54.78,70.51
MMM,1506816000,64.21,72.75,53.37,70.46
MMM,1509494400,64.21,72.75,53.37,70.46
MMM,1512086400,64.21,72.75,53.37,70.46
MMM,1514764800,64.21,72.75,53.37,70.46
MMM,1517443200,64.21,72.75,53.37,70.46
MMM,1519862400,63.81,72.75,53.37,69.32
MMM,1522540800,65.84,71.75,58.92,69.51
MMM,1525132800,65.84,71.75,58.92,69.51
MMM,1527811200,65.84,71.75,58.92,69.51
MMM,1530403200,65.84,71.75,58.92,69.51
MMM,1533081600,65.84,71.75,58.92,69.51
MMM,1535760000,65.84,71.75,58.92,69.51
MMM,1538352000,65.84,71.75,58.92,69.51
MMM,1541030400,64.97,70.55,58.92,67.88
MMM,1543622400,65.12,71.15,58.92,67.88
MMM,1546300800,65.12,71.15,58.92,67.88
MMM,1548979200,64.14,71.15,60.89,62.86
MMM,1551398400,64.14,71.15,60.89,62.86
MMM,1554076800,64.54,71.15,61.89,62.86
MMM,1556668800,64.54,71.15,61.89,62.86
MMM,1559347200,64.24,69.95,61.89,62.86
MMM,1561939200,64.24,69.95,61.89,62.86
MMM,1564617600,64.24,69.95,61.89,62.86
MMM,1567296000,64.24,69.95,61.89,62.86
MMM,1569888000,64.24,69.95,61.89,62.86
MMM,1572566400,64.24,69.95,61.89,62.86
MMM,1575158400,34.53,9.23,12.6,12.7
MMM,1577836800,34.53,9.23,12.6,12.7
MMM,1580515200,34.53,9.23,12.6,12.7
MMM,1583020800,33.54,8.39,12.6,12.55
MMM,1585699200,,,,
MMM,1588291200,,,,
MMM,1590969600,,,,
MMM,1593561600,34.75,8.07,12.79,13.89
MMM,1596240000,34.75,8.07,12.79,13.89
MMM,1598918400,,,,
MMM,1601510400,34.86,8.07,12.79,14.0
MMM,1604188800,,,,
MMM,1606780800,,,,
MMM,1609459200,34.86,8.07,12.79,14.0
MMM,1612137600,35.24,8.45,12.79,14.0
MMM,1614556800,35.24,8.45,12.79,14.0
MMM,1617235200,,,,
MMM,1619827200,34.88,8.08,13.2,13.6
MMM,1622505600,,,,
MMM,1625097600,,,,
MMM,1627776000,,,,
MMM,1630454400,34.88,8.08,13.2,13.6
MMM,1633046400,,,,
MMM,1635724800,,,,
MMM,1638316800,,,,
MMM,1640995200,,,,
MMM,1643673600,34.88,8.08,13.2,13.6
MMM,1646092800,,,,
MMM,1648771200,,,,
MMM,1651363200,33.61,7.72,12.33,13.56
MMM,1654041600,,,,
MMM,1656633600,,,,
MMM,1659312000,33.61,7.72,12.33,13.56
MMM,1661990400,,,,
MMM,1664582400,,,,
MMM,1667260800,,,,
MMM,1669852800,,,,
MMM,1672531200,,,,
MMM,1675209600,,,,
MMM,1677628800,,,,
MMM,1680307200,,,,
MMM,1682899200,,,,
MMM,1685577600,,,,
MMM,1688169600,,,,
MMM,1690848000,,,,
MMM,1693526400,37.35,6.54,17.22,13.59
MMM,1696118400,,,,
MMM,1698796800,,,,
MMM,1701388800,,,,
MMM,1704067200,,,,
MMM,1706745600,,,,
MMM,1709251200,,,,
MMM,1711929600,,,,
MMM,1714521600,,,,
MMM,1717200000,,,,
MMM,1719792000,,,,
MMM,1722470400,,,,
MMM,1725148800,,,,
MMM,1727740800,,,,
MMM,1730419200,40.71,6.84,17.19,16.69
MMM,1733011200,42.86,6.51,19.53,16.82
AOS,1472688000,46.51,57.85,43.25,42.14
AOS,1475280000,46.51,57.85,43.25,42.14
AOS,1477958400,46.51,57.85,43.25,42.14
AOS,1480550400,46.51,57.85,43.25,42.14
AOS,1483228800,46.51,57.85,43.25,42.14
AOS,1485907200,46.51,57.85,43.25,42.14
AOS,1488326400,46.51,57.85,43.25,42.14
AOS,1491004800,46.51,57.85,43.25,42.14
AOS,1493596800,46.51,57.85,43.25,42.14
AOS,1496275200,46.51,57.85,43.25,42.14
AOS,1498867200,46.51,57.85,43.25,42.14
AOS,1501545600,46.51,57.85,43.25,42.14
AOS,1504224000,46.87,61.45,42.69,41.25
AOS,1506816000,47.18,58.45,44.04,42.71
AOS,1509494400,47.18,58.45,44.04,42.71
AOS,1512086400,47.18,58.45,44.04,42.71
AOS,1514764800,47.18,58.45,44.04,42.71
AOS,1517443200,47.18,58.45,44.04,42.71
AOS,1519862400,47.18,58.45,44.04,42.71
AOS,1522540800,47.18,58.45,44.04,42.71
AOS,1525132800,47.18,58.45,44.04,42.71
AOS,1527811200,47.18,58.45,44.04,42.71
AOS,1530403200,47.18,58.45,44.04,42.71
AOS,1533081600,47.18,58.45,44.04,42.71
AOS,1535760000,47.43,59.45,44.04,42.71
AOS,1538352000,47.43,59.45,44.04,42.71
AOS,1541030400,47.33,59.05,44.04,42.71
AOS,1543622400,46.73,59.05,44.04,41.0
AOS,1546300800,46.73,59.05,44.04,41.0
AOS,1548979200,46.73,59.05,44.04,41.0
AOS,1551398400,46.73,59.05,44.04,41.0
AOS,1554076800,46.73,59.05,44.04,41.0
AOS,1556668800,46.73,59.05,44.04,41.0
AOS,1559347200,46.69,58.89,44.04,41.0
AOS,1561939200,46.61,58.59,44.04,41.0
AOS,1564617600,46.61,58.59,44.04,41.0
AOS,1567296000,46.61,58.59,44.04,41.0
AOS,1569888000,46.61,58.59,44.04,41.0
AOS,1572566400,46.61,58.59,44.04,41.0
AOS,1575158400,46.18,59.79,42.0,41.24
AOS,1577836800,25.14,7.27,13.6,4.27
AOS,1580515200,32.05,7.6,9.53,14.92
AOS,1583020800,32.05,7.6,9.53,14.92
AOS,1585699200,,,,
AOS,1588291200,,,,
AOS,1590969600,,,,
AOS,1593561600,32.05,7.6,9.53,14.92
AOS,1596240000,32.56,8.12,9.53,14.92
AOS,1598918400,,,,
AOS,1601510400,32.56,8.12,9.53,14.92
AOS,1604188800,,,,
AOS,1606780800,,,,
AOS,1609459200,32.56,8.12,9.53,14.92
AOS,1612137600,32.56,8.12,9.53,14.92
AOS,1614556800,32.56,8.12,9.53,14.92
AOS,1617235200,,,,
AOS,1619827200,25.53,6.8,7.12,11.61
AOS,1622505600,,,,
AOS,1625097600,,,,
AOS,1627776000,,,,
AOS,1630454400,25.2,6.47,7.12,11.61
AOS,1633046400,,,,
AOS,1635724800,,,,
AOS,1638316800,,,,
AOS,1640995200,,,,
AOS,1643673600,25.2,6.47,7.12,11.61
AOS,1646092800,,,,
AOS,1648771200,,,,
AOS,1651363200,25.2,6.47,7.12,11.61
AOS,1654041600,,,,
AOS,1656633600,,,,
AOS,1659312000,24.2,6.24,7.12,10.84
AOS,1661990400,,,,
AOS,1664582400,,,,
AOS,1667260800,,,,
AOS,1669852800,,,,
AOS,1672531200,25.43,6.27,7.29,11.87
AOS,1675209600,,,,
AOS,1677628800,,,,
AOS,1680307200,,,,
AOS,1682899200,,,,
AOS,1685577600,,,,
AOS,1688169600,,,,
AOS,1690848000,,,,
AOS,1693526400,25.44,6.42,7.15,11.87
AOS,1696118400,,,,
AOS,1698796800,,,,
AOS,1701388800,,,,
AOS,1704067200,,,,
AOS,1706745600,,,,
AOS,1709251200,,,,
AOS,1711929600,,,,
AOS,1714521600,,,,
AOS,1717200000,,,,
AOS,1719792000,,,,
AOS,1722470400,,,,
AOS,1725148800,,,,
AOS,1727740800,,,,
AOS,1730419200,26.82,6.61,6.65,13.55
AOS,1733011200,26.82,6.61,6.65,13.55
ABT,1409529600,64.0,69.0,71.0,57.0
ABT,1412121600,64.0,69.0,71.0,57.0
ABT,1414800000,64.0,69.0,71.0,57.0
ABT,1417392000,64.0,69.0,71.0,57.0
ABT,1420070400,64.0,69.0,71.0,57.0
ABT,1422748800,64.0,69.0,71.0,57.0
ABT,1425168000,64.0,69.0,71.0,57.0
ABT,1427846400,64.0,69.0,71.0,57.0
ABT,1430438400,63.0,66.0,71.0,57.0
ABT,1433116800,64.0,67.0,71.0,57.0
ABT,1435708800,64.0,67.0,71.0,57.0
ABT,1438387200,64.0,67.0,71.0,57.0
ABT,1441065600,64.0,67.0,71.0,57.0
ABT,1443657600,64.0,67.0,71.0,57.0
ABT,1446336000,64.0,67.0,71.0,57.0
ABT,1448928000,63.0,66.0,74.0,56.0
ABT,1451606400,63.45,65.66,73.9,56.16
ABT,1454284800,63.45,65.66,73.9,56.16
ABT,1456790400,63.45,65.66,73.9,56.16
ABT,1459468800,60.69,65.67,73.9,50.03
ABT,1462060800,60.69,65.67,73.9,50.03
ABT,1464739200,60.69,65.67,73.9,50.03
ABT,1467331200,60.56,65.67,73.4,50.03
ABT,1470009600,61.36,65.67,73.4,51.81
ABT,1472688000,61.32,65.53,73.4,51.81
ABT,1475280000,61.32,65.53,73.4,51.81
ABT,1477958400,61.32,65.53,73.4,51.81
ABT,1480550400,61.32,65.53,73.4,51.81
ABT,1483228800,67.74,68.86,76.6,62.07
ABT,1485907200,67.74,68.86,76.6,62.07
ABT,1488326400,67.74,68.86,76.6,62.07
ABT,1491004800,67.74,68.86,76.6,62.07
ABT,1493596800,67.86,68.86,77.1,62.07
ABT,1496275200,67.06,68.86,77.1,60.29
ABT,1498867200,67.86,68.86,77.1,62.07
ABT,1501545600,67.06,68.86,77.1,60.29
ABT,1504224000,67.06,68.86,77.1,60.29
ABT,1506816000,66.41,66.44,77.1,60.44
ABT,1509494400,66.41,66.44,77.1,60.44
ABT,1512086400,66.41,66.44,77.1,60.44
ABT,1514764800,64.31,61.61,74.5,60.44
ABT,1517443200,64.31,61.61,74.5,60.44
ABT,1519862400,64.31,61.61,74.5,60.44
ABT,1522540800,64.31,61.61,74.5,60.44
ABT,1525132800,64.31,61.61,74.5,60.44
ABT,1527811200,64.31,61.61,74.5,60.44
ABT,1530403200,63.5,58.92,74.5,60.44
ABT,1533081600,63.5,58.92,74.5,60.44
ABT,1535760000,63.5,58.92,74.5,60.44
ABT,1538352000,63.5,58.92,74.5,60.44
ABT,1541030400,63.6,59.25,74.5,60.44
ABT,1543622400,62.57,59.08,73.3,58.93
ABT,1546300800,62.57,59.08,73.3,58.93
ABT,1548979200,62.57,59.08,73.3,58.93
ABT,1551398400,61.87,59.08,70.5,58.93
ABT,1554076800,61.87,59.08,70.5,58.93
ABT,1556668800,61.87,59.08,70.5,58.93
ABT,1559347200,63.07,63.08,70.5,58.93
ABT,1561939200,63.07,63.08,70.5,58.93
ABT,1564617600,63.07,63.08,70.5,58.93
ABT,1567296000,63.07,63.08,70.5,58.93
ABT,1569888000,63.07,63.08,70.5,58.93
ABT,1572566400,63.07,63.08,70.5,58.93
ABT,1575158400,30.62,11.58,3.74,15.31
ABT,1577836800,30.62,11.58,3.74,15.31
ABT,1580515200,30.63,11.58,3.74,15.31
ABT,1583020800,31.26,11.58,3.74,15.94
ABT,1585699200,,,,
ABT,1588291200,,,,
ABT,1590969600,,,,
ABT,1593561600,29.83,10.63,2.98,16.21
ABT,1596240000,29.83,10.63,2.98,16.21
ABT,1598918400,,,,
ABT,1601510400,29.85,10.65,2.98,16.21
ABT,1604188800,,,,
ABT,1606780800,,,,
ABT,1609459200,29.85,10.65,2.98,16.21
ABT,1612137600,29.85,10.65,2.98,16.21
ABT,1614556800,29.85,10.65,2.98,16.21
ABT,1617235200,,,,
ABT,1619827200,29.98,10.65,3.11,16.21
ABT,1622505600,,,,
ABT,1625097600,,,,
ABT,1627776000,,,,
ABT,1630454400,25.96,9.39,3.03,13.54
ABT,1633046400,,,,
ABT,1635724800,,,,
ABT,1638316800,,,,
ABT,1640995200,,,,
ABT,1643673600,25.96,9.39,3.03,13.54
ABT,1646092800,,,,
ABT,1648771200,,,,
ABT,1651363200,25.96,9.39,3.03,13.54
ABT,1654041600,,,,
ABT,1656633600,,,,
ABT,1659312000,24.98,8.36,3.03,13.59
ABT,1661990400,,,,
ABT,1664582400,,,,
ABT,1667260800,,,,
ABT,1669852800,,,,
ABT,1672531200,,,,
ABT,1675209600,,,,
ABT,1677628800,,,,
ABT,1680307200,,,,
ABT,1682899200,,,,
ABT,1685577600,,,,
ABT,1688169600,,,,
ABT,1690848000,,,,
ABT,1693526400,24.83,8.33,2.27,14.24
ABT,1696118400,,,,
ABT,1698796800,,,,
ABT,1701388800,,,,
ABT,1704067200,,,,
ABT,1706745600,,,,
ABT,1709251200,,,,
ABT,1711929600,,,,
ABT,1714521600,,,,
ABT,1717200000,,,,
ABT,1719792000,,,,
ABT,1722470400,,,,
ABT,1725148800,,,,
ABT,1727740800,,,,
ABT,1730419200,22.21,6.56,1.81,13.84
ABT,1733011200,22.21,6.56,1.81,13.84
ABBV,1409529600,64.0,69.0,66.0,60.0
ABBV,1412121600,62.0,69.0,67.0,57.0
ABBV,1414800000,66.0,66.0,74.0,62.0
